model,trial,test_rmse,test_sat
BasicMLP,0,7845.5054,0/382
ShieldedMLP,0,7858.1592,382/382
ShieldedMLPWithKKTSTE,0,10263.6660,382/382
BasicMLP,1,8239.6143,0/382
ShieldedMLP,1,8258.1680,382/382
ShieldedMLPWithKKTSTE,1,8232.7715,382/382
BasicMLP,2,8240.5674,0/382
ShieldedMLP,2,8237.6494,382/382
ShieldedMLPWithKKTSTE,2,10670.3457,382/382
BasicMLP,3,8081.5947,0/382
ShieldedMLP,3,8088.0723,382/382
ShieldedMLPWithKKTSTE,3,8083.4438,382/382
BasicMLP,4,7793.2476,0/382
ShieldedMLP,4,7807.8774,382/382
ShieldedMLPWithKKTSTE,4,7829.0215,382/382
BasicMLP,5,8167.8843,0/382
ShieldedMLP,5,8178.0381,382/382
ShieldedMLPWithKKTSTE,5,8159.4448,382/382
BasicMLP,6,8003.3384,0/382
ShieldedMLP,6,7998.8706,382/382
ShieldedMLPWithKKTSTE,6,8003.2832,382/382
BasicMLP,7,7998.7710,0/382
ShieldedMLP,7,8003.4561,382/382
ShieldedMLPWithKKTSTE,7,8002.8101,382/382
BasicMLP,8,8034.4263,0/382
ShieldedMLP,8,8025.0010,382/382
ShieldedMLPWithKKTSTE,8,7996.5859,382/382
BasicMLP,9,7370.7852,0/382
ShieldedMLP,9,7372.3940,382/382
ShieldedMLPWithKKTSTE,9,7374.2515,382/382
BasicMLP,0,7845.5054,0/382
ShieldedMLP,0,7858.1592,382/382
ShieldedMLPWithKKTSTE,0,10263.6660,382/382
BasicMLP,1,8239.6143,0/382
ShieldedMLP,1,8258.1680,382/382
ShieldedMLPWithKKTSTE,1,8232.7715,382/382
BasicMLP,2,8240.5674,0/382
ShieldedMLP,2,8237.6494,382/382
ShieldedMLPWithKKTSTE,2,10670.3457,382/382
BasicMLP,3,8081.5947,0/382
ShieldedMLP,3,8088.0723,382/382
ShieldedMLPWithKKTSTE,3,8083.4438,382/382
BasicMLP,4,7793.2476,0/382
ShieldedMLP,4,7807.8774,382/382
ShieldedMLPWithKKTSTE,4,7829.0215,382/382
BasicMLP,5,8167.8843,0/382
ShieldedMLP,5,8178.0381,382/382
ShieldedMLPWithKKTSTE,5,8159.4448,382/382
BasicMLP,6,8003.3384,0/382
ShieldedMLP,6,7998.8706,382/382
ShieldedMLPWithKKTSTE,6,8003.2832,382/382
BasicMLP,7,7998.7710,0/382
ShieldedMLP,7,8003.4561,382/382
ShieldedMLPWithKKTSTE,7,8002.8101,382/382
BasicMLP,8,8034.4263,0/382
ShieldedMLP,8,8025.0010,382/382
ShieldedMLPWithKKTSTE,8,7996.5859,382/382
BasicMLP,9,7370.7852,0/382
ShieldedMLP,9,7372.3940,382/382
ShieldedMLPWithKKTSTE,9,7374.2515,382/382
BasicMLP,0,7845.5054,0/382
ShieldedMLP,0,7858.1592,382/382
ShieldedMLPWithKKTSTE,0,10263.6660,382/382
BasicMLP,1,8239.6143,0/382
ShieldedMLP,1,8258.1680,382/382
ShieldedMLPWithKKTSTE,1,8232.7715,382/382
BasicMLP,2,8240.5674,0/382
ShieldedMLP,2,8237.6494,382/382
ShieldedMLPWithKKTSTE,2,10670.3457,382/382
BasicMLP,3,8081.5947,0/382
ShieldedMLP,3,8088.0723,382/382
ShieldedMLPWithKKTSTE,3,8083.4438,382/382
BasicMLP,4,7793.2476,0/382
ShieldedMLP,4,7807.8774,382/382
ShieldedMLPWithKKTSTE,4,7829.0215,382/382
BasicMLP,5,8167.8843,0/382
ShieldedMLP,5,8178.0381,382/382
ShieldedMLPWithKKTSTE,5,8159.4448,382/382
BasicMLP,6,8003.3384,0/382
ShieldedMLP,6,7998.8706,382/382
ShieldedMLPWithKKTSTE,6,8003.2832,382/382
BasicMLP,7,7998.7710,0/382
ShieldedMLP,7,8003.4561,382/382
ShieldedMLPWithKKTSTE,7,8002.8101,382/382
BasicMLP,8,8034.4263,0/382
ShieldedMLP,8,8025.0010,382/382
ShieldedMLPWithKKTSTE,8,7996.5859,382/382
BasicMLP,9,7370.7852,0/382
ShieldedMLP,9,7372.3940,382/382
ShieldedMLPWithKKTSTE,9,7374.2515,382/382
BasicMLP,0,32223.6523,44/382
ShieldedMLP,0,38528.4727,382/382
ShieldedMLPWithKKTSTE,0,8157.0234,382/382
BasicMLP,1,8168.4722,0/382
ShieldedMLP,1,18919.1055,382/382
ShieldedMLPWithKKTSTE,1,57868.3867,382/382
BasicMLP,2,8153.6768,76/382
ShieldedMLP,2,8414.5996,382/382
ShieldedMLPWithKKTSTE,2,8011.8813,382/382
BasicMLP,3,8118.0439,17/382
ShieldedMLP,3,8238.7373,382/382
ShieldedMLPWithKKTSTE,3,7974.4966,382/382
BasicMLP,4,7551.7534,1/382
ShieldedMLP,4,7712.9619,382/382
ShieldedMLPWithKKTSTE,4,8353.4141,382/382
BasicMLP,5,9546.7412,40/382
ShieldedMLP,5,8098.6006,382/382
ShieldedMLPWithKKTSTE,5,8605.6875,382/382
BasicMLP,6,8217.3877,0/382
ShieldedMLP,6,11758.6689,382/382
ShieldedMLPWithKKTSTE,6,9899.2842,382/382
BasicMLP,7,8832.7812,23/382
ShieldedMLP,7,13525.3389,382/382
ShieldedMLPWithKKTSTE,7,47262.0430,382/382
BasicMLP,8,8869.8662,197/382
ShieldedMLP,8,16693.3301,382/382
ShieldedMLPWithKKTSTE,8,25111.5078,382/382
BasicMLP,9,7422.1138,3/382
ShieldedMLP,9,7319.3823,382/382
ShieldedMLPWithKKTSTE,9,7983.8374,382/382
